,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
346,mehamn,71.0357,27.8492,280.52,83,100,1.28,NO,1624159140
347,yakima,46.4665,-120.6678,300.5,39,1,8.23,US,1624159141
348,tamiahua,21.2667,-97.45,299.61,88,100,3.62,MX,1624159141
349,kamsack,51.5667,-101.9009,289.4,88,99,3.44,CA,1624159142
350,senanga,-16.1167,23.2667,283.71,70,0,2.55,ZM,1624159142
351,lakes entrance,-37.8811,147.981,286.58,82,64,0.65,AU,1624159143
352,cap malheureux,-19.9842,57.6142,295.42,74,43,0.89,MU,1624159143
353,birao,10.2849,22.7882,296.16,77,100,1.76,CF,1624159144
354,neiafu,-18.65,-173.9833,300.53,78,40,3.09,TO,1624159144
355,arlit,18.7369,7.3853,304.57,11,9,3.59,NE,1624159144
356,sitka,57.0531,-135.33,292.09,52,20,2.57,US,1624159145
357,russell,32.3502,-85.1999,297.75,90,75,5.14,US,1624159145
358,angostura,25.3667,-108.1833,302.59,66,71,3.78,MX,1624159146
359,tam ky,15.5667,108.4833,310.14,40,32,2.99,VN,1624159146
360,coquimbo,-29.9533,-71.3436,286.0,82,90,1.54,CL,1624159147
361,cabedelo,-6.9811,-34.8339,295.52,88,58,4.89,BR,1624159048
362,mamou,10.5,-12.0,293.41,92,100,0.59,GN,1624159149
363,asfi,32.2994,-9.2372,290.46,74,5,5.49,MA,1624159149
364,roebourne,-20.7833,117.1333,295.92,47,0,5.58,AU,1624159150
365,kyra,49.5776,111.9753,288.98,58,100,2.9,RU,1624159150
366,sokoto,13.0609,5.239,301.3,55,100,3.18,NG,1624159136
367,piripiri,-4.2733,-41.7769,297.49,73,82,0.79,BR,1624159151
